STATE,IBGE_RES_POP,IBGE_RES_POP_BRAS,IBGE_DU,IBGE_DU_URBAN,IBGE_DU_RURAL,IBGE_POP,IBGE_1,IBGE_1-4,IBGE_5-9,IBGE_10-14,IBGE_15-59,IBGE_60+,IBGE_PLANTED_AREA,IBGE_CROP_PRODUCTION_$,IDHM,LONG,LAT,ALT,PAY_TV,FIXED_PHONES,AREA,CATEGORIA_TUR,ESTIMATED_POP,RURAL_URBAN,GVA_AGROPEC,GVA_INDUSTRY,GVA_SERVICES,GVA_PUBLIC,GVA_TOTAL,TAXES,GDP,POP_GDP,GDP_CAPITA,GVA_MAIN,COMP_TOT,COMP_A,COMP_B,COMP_C,COMP_E,COMP_F,COMP_G,COMP_H,COMP_I,COMP_L,COMP_M,COMP_N,COMP_O,COMP_P,COMP_Q,COMP_R,COMP_S,HOTELS,BEDS,Pr_Agencies,Pu_Agencies,Pr_Bank,Pu_Bank,Cars,Motorcycles,Wheeled_tractor,UBER,MAC,WAL-MART,POST_OFFICES
24,7742,7742,2041,1036,1005,3981,69,337,404,509,2330,332,2711,9847,0.54,-36.4718,-10.4189,2.8739,196,73,143.887,5,8264,3,16636,3086,14680,38790,73192,2978,76170,8271,9209.0,1,26,0,0,1,0,1,10,0,2,0,0,1,4,0,0,0,7,0,0,0,0,0,0,196,403,0,0,0,0,1
16,9928,9928,2584,443,2141,1654,20,102,155,146,1064,167,2102,1999,0.583,-42.3083,-4.4713,115.8393,209,35,608.804,5,10540,3,4837,1838,11531,37311,55517,2336,57853,10368,5580.0,1,41,0,0,3,0,0,24,2,0,0,0,1,3,6,0,0,2,0,0,0,0,0,0,372,1249,0,0,0,0,1
9,8446,8446,1772,820,952,3788,68,324,390,510,2202,294,2383,6043,0.537,-44.0597,-2.9319,8.5989,59,13,864.808,4,9382,3,12071,2515,10796,29734,55115,1114,56230,8878,6334.0,1,19,0,0,0,0,1,8,0,0,0,1,0,2,1,0,0,6,0,0,0,0,0,0,96,475,0,0,0,0,1
26,2148,2148,564,455,109,1722,36,149,181,240,958,158,303,971,0.627,-47.9142,-6.1132,200.4126,12,44,352.346,0,2266,3,4940,518,4135,15892,25486,904,26390,2266,11646.0,1,19,0,0,0,0,0,7,0,0,0,2,1,2,0,1,0,5,0,0,0,0,0,0,117,273,0,0,0,0,1
14,3557,3557,1033,499,534,1674,31,115,141,127,1072,188,421,237,0.596,-37.1582,-7.1285,272.08,12,18,220.38,0,3729,3,3193,1030,5842,18328,28393,836,29229,3731,7834.0,1,20,0,0,0,0,0,5,0,0,0,0,1,2,2,0,0,10,0,0,0,0,0,0,161,430,0,0,0,0,1
9,10593,10593,2594,1028,1566,3880,68,344,356,381,2316,415,519,2321,0.553,-44.6734,-2.8829,4.6506,60,32,545.244,4,11136,3,7235,2920,10300,29847,50301,1165,51466,10975,4689.0,1,21,1,0,0,0,1,14,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,123,876,0,0,0,0,1
16,3343,3343,932,321,611,1110,24,70,115,104,672,125,2047,1112,0.562,-42.3967,-6.7942,157.3946,6,26,514.364,0,3544,3,2772,645,3952,15014,22383,864,23248,3485,6671.0,1,16,0,0,0,0,0,9,0,0,0,0,1,2,1,1,0,2,0,0,0,0,0,0,61,433,0,0,0,0,1
14,3033,3033,827,277,550,1000,19,66,90,94,610,121,225,128,0.55,-37.7992,-6.9627,259.5835,6,3,287.894,0,3181,3,2743,937,4642,18477,26799,703,27502,3181,8646.0,1,26,0,0,1,0,0,9,0,0,0,1,1,2,3,2,0,7,0,0,0,0,0,0,88,449,0,0,0,0,1
1,6598,6598,1692,1452,240,5433,102,398,589,696,3136,512,2934,12087,0.559,-35.5667,-8.8484,115.5103,51,80,65.91,5,6918,3,16367,1003,11540,26476,55386,956,56342,7002,8047.0,1,32,0,0,1,0,1,21,3,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,249,153,0,0,0,0,1
16,5408,5408,1642,571,1071,1804,29,109,153,186,1082,245,3250,1191,0.544,-41.8807,-7.6548,214.7283,66,49,831.201,0,5603,3,4208,1392,8894,22988,37481,1995,39475,5515,7158.0,1,37,0,0,0,0,0,23,0,0,0,0,1,2,1,1,0,9,0,0,0,0,0,0,203,602,0,0,0,0,1
